word,valence,arousal,dominance,n_collapsed
applicant,4.91,3.96,5.08,1
application,5.05,4.52,4.3,1
apply,5.16,3.24,6.2,1
appoint,5.95,4.25,5.65,1
appointment,4.43,4.8,6.68,1
appraisal,5.09,4.09,5.65,1
appreciate,7.33,3.1,7.0,1
appreciation,7.3,4.68,6.63,1
appreciative,7.14,4.35,6.9,1
apprehend,4.14,5.13,4.48,1
apprehension,4.15,4.23,5.07,1
apprehensive,3.32,4.77,4.64,1
apprentice,5.95,3.59,5.05,1
approach,5.45,4.48,6.03,1
appropriate,6.1,4.04,5.0,1
approval,6.75,3.52,6.63,1
approve,7.0,4.09,7.26,1
approximate,5.26,3.82,4.95,1
apricot,5.95,4.29,5.94,1
apron,5.8,2.9,5.28,1
apt,5.64,4.05,5.95,1
aptitude,5.95,4.55,5.45,1
aqua,6.5,3.6,4.82,1
aquamarine,6.4,3.9,4.95,1
aquarium,6.43,4.3,6.14,1
aquatic,6.8,3.58,4.53,1
arbitrary,4.15,4.55,4.77,1
arbitration,4.09,4.41,4.19,1
arcade,6.45,6.1,6.81,1
arcane,5.25,3.61,5.55,1
arch,5.8,3.15,5.45,1
archaeological,6.05,4.52,5.18,1
archaeologist,5.42,4.14,5.17,1
archaeology,6.1,3.86,5.26,1
archaic,4.5,4.38,4.62,1
archangel,7.27,4.19,4.79,1
archbishop,4.71,3.78,4.73,1
archdiocese,3.95,3.41,4.04,1
archduke,4.15,3.56,5.73,1
archery,5.25,4.39,5.73,1
architect,6.21,3.25,6.05,1
architectural,6.32,4.05,5.18,1
architecture,6.05,4.39,5.67,1
archive,4.81,4.18,5.24,1
arctic,4.45,3.88,5.0,1
ardent,4.95,4.62,5.32,1
area,5.56,2.19,5.06,1
arena,5.75,4.23,6.04,1
argue,3.15,6.67,4.77,1
argument,2.62,5.22,5.65,1
argumentative,3.2,5.61,4.0,1
arise,6.17,4.76,5.87,1
aristocracy,5.21,4.15,5.08,1
aristocrat,4.28,3.6,4.94,1
aristocratic,5.79,3.18,4.43,1
arithmetic,4.95,4.0,5.54,1
ark,6.15,3.52,5.88,1
arm,5.44,3.44,6.02,1
armada,4.6,3.29,5.6,1
armament,5.05,4.65,5.37,1
armchair,5.67,2.75,5.79,1
armed,4.11,6.3,5.68,1
armor,5.885,3.405,6.0,1
armory,5.25,4.48,5.74,1
armpit,4.1,3.57,5.24,1
army,4.65,4.49,4.65,1
aroma,7.65,4.35,6.06,1
arouse,6.3100000000000005,6.755,5.84,1
arraignment,3.91,4.6,5.33,1
arrange,5.15,3.57,6.71,1
arrangement,5.71,3.0,5.5,1
array,5.9,3.71,5.62,1
arrest,2.33,6.86,3.11,1
arrhythmia,3.86,4.95,4.25,1
arrival,6.67,3.6,6.53,1
arrive,6.41,5.0,6.84,1
arrogance,2.55,4.65,5.0,1
arrogant,2.52,5.15,4.64,1
arrow,5.24,3.91,5.53,1
arsenal,4.45,5.48,5.25,1
arsenic,3.0,4.7,3.46,1
arson,2.26,5.41,3.78,1
arsonist,2.5,6.95,3.42,1
art,6.85,4.48,6.02,1
arterial,3.95,3.39,4.12,1
artery,4.29,4.09,4.78,1
arthritis,2.32,4.27,2.63,1
artichoke,5.3,3.5,5.48,1
article,5.68,3.5,5.68,1
articulate,6.55,4.27,6.89,1
artifact,6.2,4.95,5.73,1
artificial,3.86,4.17,4.55,1
artillery,4.1,4.56,4.64,1
artist,6.76,4.1,6.95,1
artiste,6.33,3.0,5.35,1
artistic,7.0,5.0,6.86,1
artistry,6.91,4.71,7.43,1
artwork,6.76,4.18,6.33,1
arty,6.55,5.53,5.48,1
asbestos,2.24,4.38,3.05,1
ascend,5.665,3.93,5.565,1
ascendant,5.29,3.23,5.78,1
ascension,5.77,5.36,5.45,1
ascertain,5.3,3.17,6.29,1
ashamed,2.52,5.65,4.63,1
ashtray,3.52,3.48,5.56,1
asinine,5.05,4.63,4.81,1
ask,5.95,3.48,6.29,1
asleep,6.5,2.0,4.33,1
asparagus,5.43,2.73,5.67,1
aspect,4.89,3.39,4.76,1
aspen,6.57,4.11,5.5,1
asphalt,4.46,3.2,4.62,1
asphyxia,2.19,6.14,2.4,1
asphyxiation,1.53,6.91,2.54,1
aspiration,6.26,5.0,5.94,1
aspire,6.66,4.045,6.85,1
aspirin,5.3,3.35,5.12,1
ass,5.45,5.43,3.61,1
assailant,3.24,5.7,3.0,1
assassin,2.11,5.82,3.36,1
assassinate,3.27,6.38,3.23,1
assassination,1.83,6.2,4.0,1
assault,2.05,6.8,3.49,1
assemble,5.14,3.52,6.28,1
assembly,5.47,3.95,4.82,1
assemblyman,5.0,3.12,5.21,1
assert,5.68,4.64,5.93,1
assertive,5.37,5.55,6.04,1
assess,5.84,3.45,5.21,1
assessment,5.22,2.75,5.44,1
asset,7.25,4.43,6.0,1
asshole,2.11,6.38,2.89,1
assign,4.75,3.71,5.74,1
assignment,5.39,4.45,6.0,1
assimilate,4.63,4.15,5.15,1
assist,5.95,3.76,6.41,1
assistance,5.82,3.82,6.45,1
assistant,5.91,4.8,6.37,1
associate,5.2,3.11,4.88,1
association,5.5,3.67,6.14,1
assorted,5.82,3.52,5.41,1
assortment,5.64,3.88,5.79,1
assume,4.41,4.2,6.21,1
assumption,4.3,4.14,5.03,1
assurance,5.95,2.81,6.07,1
assure,6.33,3.1,6.52,1
asterisk,5.38,2.78,5.72,1
asteroid,4.95,5.6,3.68,1
asthma,2.45,4.5,3.54,1
asthmatic,3.33,3.38,3.84,1
astonish,5.984999999999999,5.555,5.4350000000000005,1
astonishing,6.53,5.77,5.23,1
astound,6.3,5.05,5.56,1
astral,5.32,5.13,5.26,1
astrology,4.79,4.18,4.67,1
astronaut,6.73,4.4,5.32,1
astronomer,5.59,5.42,5.33,1
astronomical,6.37,5.0,5.14,1
astronomy,6.0,4.33,5.21,1
astute,6.22,3.16,6.0,1
asylum,3.24,5.55,3.52,1
atheist,4.64,4.76,5.41,1
athlete,6.21,4.75,5.96,1
athletic,6.449999999999999,4.965,6.130000000000001,1
atlas,5.95,2.5,5.7,1
atmosphere,6.05,4.0,4.86,1
atmospheric,5.72,4.09,5.11,1
atoll,5.14,3.55,4.7,1
atom,5.74,4.29,5.39,1
